date,city_id,city_name,country_code,temperature_mean,temperature_min,temperature_max,temperature_range
2026-03-08,RU_NSK,Новосибирск,RU,-0.5,-1.5,0.4,1.9
2026-03-09,RU_NSK,Новосибирск,RU,-1.39,-4.1,0.8,4.9
